_id,Year,MUNO,forest_name,Product_Type,Spp_Group1,Spp_Group3,Volume
220,2018,415,Ogoki (415),Other,White Birch,Poplar/Birch,690.3369751
221,2018,415,Ogoki (415),Pulp,Jack Pine,SPF,23.24200058
222,2018,415,Ogoki (415),Pulp,Spruce,SPF,81.53399658
223,2018,415,Ogoki (415),Pulp,Balsam Fir,SPF,1.713999987
224,2018,415,Ogoki (415),Sawmill,Jack Pine,SPF,72005.92969
225,2018,415,Ogoki (415),Sawmill,Spruce,SPF,118461.1094
226,2018,415,Ogoki (415),Veneer,Poplar,Poplar/Birch,594.0310059
227,2018,421,Pineland (421),Composite,Poplar,Poplar/Birch,42629.77344
228,2018,421,Pineland (421),Composite,White Birch,Poplar/Birch,378.7529907
229,2018,421,Pineland (421),Fuelwood,Other Softwood,Other Softwood,268.3999939
230,2018,421,Pineland (421),Fuelwood,Other Softwood,Other Softwood,682.3889771
231,2018,421,Pineland (421),Fuelwood,White Birch,Poplar/Birch,4351.285156
232,2018,421,Pineland (421),Pulp,Poplar,Poplar/Birch,10283.12305
233,2018,421,Pineland (421),Pulp,White Birch,Poplar/Birch,8147.905762
234,2018,421,Pineland (421),Sawmill,Jack Pine,SPF,112119.7656
235,2018,421,Pineland (421),Sawmill,Spruce,SPF,91862.36719
236,2018,421,Pineland (421),Sawmill,Balsam Fir,SPF,33280.88281
237,2018,421,Pineland (421),Sawmill,Other Softwood,Other Softwood,38.98799896
238,2018,421,Pineland (421),Sawmill,Other Softwood,Other Softwood,3655.975098
239,2018,421,Pineland (421),Veneer,Poplar,Poplar/Birch,17012.22461
240,2018,438,Gordon Cosens (438),Composite,Poplar,Poplar/Birch,8099.723145
241,2018,438,Gordon Cosens (438),Composite,White Birch,Poplar/Birch,44.35100174
242,2018,438,Gordon Cosens (438),Fuelwood,Other Softwood,Other Softwood,4355
243,2018,438,Gordon Cosens (438),Other,Spruce,SPF,598.5599976
244,2018,438,Gordon Cosens (438),Other,Poplar,Poplar/Birch,55.04000092
245,2018,438,Gordon Cosens (438),Sawmill,Jack Pine,SPF,19373.83984
246,2018,438,Gordon Cosens (438),Sawmill,Spruce,SPF,415482.0938
247,2018,438,Gordon Cosens (438),Sawmill,Balsam Fir,SPF,29122.26953
248,2018,438,Gordon Cosens (438),Sawmill,Poplar,Poplar/Birch,220.0529938
249,2018,438,Gordon Cosens (438),Veneer,Poplar,Poplar/Birch,46412.28516
250,2018,443,Wabadowgang Noopming (443),Biomass,Mixedwood,Mixedwood,0
251,2018,443,Wabadowgang Noopming (443),Fuelwood,Jack Pine,SPF,65.54499817
252,2018,443,Wabadowgang Noopming (443),Fuelwood,Spruce,SPF,82.89299774
253,2018,443,Wabadowgang Noopming (443),Fuelwood,Poplar,Poplar/Birch,14.85999966
254,2018,443,Wabadowgang Noopming (443),Other,Poplar,Poplar/Birch,61.23199844
255,2018,443,Wabadowgang Noopming (443),Pulp,Poplar,Poplar/Birch,1063.994995
256,2018,443,Wabadowgang Noopming (443),Sawmill,Jack Pine,SPF,46421.91797
257,2018,443,Wabadowgang Noopming (443),Sawmill,Spruce,SPF,40001.30078
258,2018,451,Algonquin (451),Biomass,Mixedwood,Mixedwood,63.46900177
259,2018,451,Algonquin (451),Composite,Jack Pine,SPF,0.481000006
260,2018,451,Algonquin (451),Composite,Spruce,SPF,21.97400093
261,2018,451,Algonquin (451),Composite,Balsam Fir,SPF,20.99099922
262,2018,451,Algonquin (451),Composite,Other Softwood,Other Softwood,0.218999997
263,2018,451,Algonquin (451),Composite,White Pine,Red/White Pine,428.4200134
264,2018,451,Algonquin (451),Composite,Red Pine,Red/White Pine,87.48100281
265,2018,451,Algonquin (451),Composite,White Pine,Red/White Pine,2513.779053
266,2018,451,Algonquin (451),Composite,Red Pine,Red/White Pine,771.7009888
267,2018,451,Algonquin (451),Fuelwood,Jack Pine,SPF,0.275000006
268,2018,451,Algonquin (451),Fuelwood,Spruce,SPF,14.25500011
269,2018,451,Algonquin (451),Fuelwood,Balsam Fir,SPF,12.88399982
270,2018,451,Algonquin (451),Fuelwood,Other Softwood,Other Softwood,39.50799942
271,2018,451,Algonquin (451),Fuelwood,Maple,Hardwood,8385.327148
272,2018,451,Algonquin (451),Fuelwood,Yellow Birch,Hardwood,178.2109985
273,2018,451,Algonquin (451),Fuelwood,Oak,Hardwood,5335.147949
274,2018,451,Algonquin (451),Fuelwood,Other Hardwood,Hardwood,2139.666992
275,2018,451,Algonquin (451),Fuelwood,Other Hardwood,Hardwood,75.5759964
276,2018,451,Algonquin (451),Fuelwood,Other Hardwood,Hardwood,15.57299995
277,2018,451,Algonquin (451),Fuelwood,Other Hardwood,Hardwood,26.97200012
278,2018,451,Algonquin (451),Fuelwood,Poplar,Poplar/Birch,16.88500023
279,2018,451,Algonquin (451),Fuelwood,White Pine,Red/White Pine,1.277999997
280,2018,451,Algonquin (451),Fuelwood,Red Pine,Red/White Pine,205.1419983
281,2018,451,Algonquin (451),Fuelwood,White Birch,Poplar/Birch,1215.56897
282,2018,451,Algonquin (451),Other,Spruce,SPF,45.52099991
283,2018,451,Algonquin (451),Other,Balsam Fir,SPF,14.33300018
284,2018,451,Algonquin (451),Other,Other Softwood,Other Softwood,12.35999966
285,2018,451,Algonquin (451),Other,Other Softwood,Other Softwood,62.32099915
286,2018,451,Algonquin (451),Other,Maple,Hardwood,23.31999969
287,2018,451,Algonquin (451),Other,Yellow Birch,Hardwood,1.072000027
288,2018,451,Algonquin (451),Other,Oak,Hardwood,0.381000012
289,2018,451,Algonquin (451),Other,Other Hardwood,Hardwood,9.256999969
290,2018,451,Algonquin (451),Other,Other Hardwood,Hardwood,0.412
291,2018,451,Algonquin (451),Other,Maple,Hardwood,269.7030029
292,2018,451,Algonquin (451),Other,Yellow Birch,Hardwood,10.41100025
293,2018,451,Algonquin (451),Other,Oak,Hardwood,3.700000048
